IDX,Partition,Activity,MW,bpKa_ordinal,SMILES,Source,Source_norm,Source_flag,PubChem_CID,CID_display
1,train,Ativo,280.43,3,c3ccc(CCC[NH2+]C2CCc1ccccc1CC2)cc3,"GAWASKAR et al., 2017 (publicado)","Gawaskar et al., 2017",c,15061905.0,15061905
3,train,Ativo,238.35,3,c3ccc(C[NH2+]C2CCc1ccccc1C2)cc3,"TEMME et al., 2020","Temme et al., 2020",,13472341.0,13472341
4,train,Ativo,252.37,3,c3ccc(CC[NH2+]C2CCc1ccccc1C2)cc3,"TEMME et al., 2020","Temme et al., 2020",,435861.0,435861
5,train,Ativo,266.4,3,c3ccc(CCC[NH2+]C2CCc1ccccc1C2)cc3,"TEMME et al., 2020","Temme et al., 2020",,15061906.0,15061906
6,train,Ativo,280.43,3,c3ccc(CCCC[NH2+]C2CCc1ccccc1C2)cc3,"TEMME et al., 2020","Temme et al., 2020",,114333318.0,114333318
7,train,Ativo,238.35,3,c3ccc(CC[NH2+]C2Cc1ccccc1C2)cc3,"TEMME et al., 2020","Temme et al., 2020",,21648335.0,21648335
10,train,Ativo,278.41,3,c4ccc(C3CC[NH+](C2Cc1ccccc1C2)CC3)cc4,"TEMME et al., 2020","Temme et al., 2020",,22273743.0,22273743
11,train,Ativo,292.44,3,c4ccc(CC3CC[NH+](C2Cc1ccccc1C2)CC3)cc4,"TEMME et al., 2020","Temme et al., 2020",,162658229.0,162658229
12,train,Ativo,296.43,3,Oc3ccc2CC[NH+](CCCCc1ccccc1)CCc2c3,"RITTER et al., 2021","Ritter et al., 2021",,144077746.0,144077746
13,train,Ativo,280.43,3,c3ccc(CCCC[NH+]2CCc1ccccc1CC2)cc3,"RITTER et al., 2021","Ritter et al., 2021",,145971584.0,145971584
16,train,Ativo,312.43,3,Oc1ccc3c(c1)CC[NH+](CCCCc2ccccc2)C[C@@H]3O,"BORGEL et al., 2018 (publicado)","B\""orgel et al., 2018",v,145267329.0,145267329
17,train,Ativo,312.43,3,Oc1ccc3c(c1)CC[NH+](CCCCc2ccccc2)C[C@H]3O,"BORGEL et al., 2018 (publicado)","B\""orgel et al., 2018",v,,R2
19,train,Ativo,326.45,3,COc1ccc3c(c1)CC[NH+](CCCCc2ccccc2)C[C@H]3O,"BORGEL et al., 2018 (publicado)","B\""orgel et al., 2018",v,,R2
20,train,Ativo,252.37,3,c3ccc(C[NH2+]C2CCc1ccccc1CC2)cc3,"GAWASKAR et al., 2014 (publicado)","Gawaskar et al., 2014",c,22499189.0,22499189
23,train,Ativo,306.46,3,c4ccc(C3CC[NH+](C2CCc1ccccc1CC2)CC3)cc4,"GAWASKAR et al., 2014 (publicado)","Gawaskar et al., 2014",c,22273748.0,22273748
24,train,Ativo,307.45,3,c4ccc(N3CC[NH+](C2CCc1ccccc1CC2)CC3)cc4,"GAWASKAR et al., 2014 (publicado)","Gawaskar et al., 2014",c,101884139.0,101884139
25,train,Ativo,320.49,3,c4ccc(CC3CC[NH+](C2CCc1ccccc1CC2)CC3)cc4,"GAWASKAR et al., 2014 (publicado)","Gawaskar et al., 2014",c,101884140.0,101884140
26,train,Ativo,320.49,3,c4ccc([C@@H]3CC[C@H]([NH2+]C2CCc1ccccc1CC2)CC3)cc4,"GAWASKAR et al., 2014 (publicado)","Gawaskar et al., 2014",c,,R6
27,train,Ativo,320.49,3,c4ccc([C@@H]3CC[C@@H]([NH2+]C2CCc1ccccc1CC2)CC3)cc4,"GAWASKAR et al., 2014 (publicado)","Gawaskar et al., 2014",c,,R6
28,train,Ativo,326.45,3,C[C@@H]2[C@H](O)c1ccc(O)cc1CC[NH+]2CCCCc3ccccc3,"DEY et al., 2018 (publicado)","Dey et al., 2018",c,68626770.0,68626770
29,train,Ativo,310.45,3,C[C@@H]2[C@H](O)c1ccccc1CC[NH+]2CCCCc3ccccc3,"DEY et al., 2018 (publicado)","Dey et al., 2018",c,145978275.0,145978275
30,train,Ativo,324.48,3,C[C@@H]2[C@H](O)c1ccccc1CC[NH+]2CCCCCc3ccccc3,"DEY et al., 2018 (publicado)","Dey et al., 2018",c,145970297.0,145970297
31,train,Ativo,344.47,3,C[C@@H]2[C@H](O)c1ccccc1CC[NH+]2Cc4ccc(c3ccccc3)cc4,"DEY et al., 2018 (publicado)","Dey et al., 2018",c,,R7
32,train,Ativo,312.44,3,FC(CCc1ccccc1)C[NH2+]C3CCc2ccccc2CC3,"THUM et al., 2019","Thum et al., 2019",,145991874.0,145991874
