System,RMSD_A
Ifenprodil (3QEL),0.301
Ifenprodil (3QEL),0.3026
Ifenprodil (3QEL),0.3028
Ifenprodil (3QEL),0.303
Ifenprodil (3QEL),0.3038
Ifenprodil (3QEL),0.305
Ifenprodil (3QEL),0.309
Ifenprodil (3QEL),0.3184
Ifenprodil (3QEL),0.3191
Ifenprodil (3QEL),0.3295
Ifenprodil (3QEL),0.331
Ifenprodil (3QEL),0.3312
Ifenprodil (3QEL),0.3319
Ifenprodil (3QEL),0.3332
Ifenprodil (3QEL),0.3338
Ifenprodil (3QEL),0.3356
Ifenprodil (3QEL),0.3363
Ifenprodil (3QEL),0.3364
Ifenprodil (3QEL),0.3367
Ifenprodil (3QEL),0.3397
Ifenprodil (3QEL),0.3413
Ifenprodil (3QEL),0.3422
Ifenprodil (3QEL),0.3425
Ifenprodil (3QEL),0.3438
Ifenprodil (3QEL),0.3461
Ifenprodil (3QEL),0.3468
Ifenprodil (3QEL),0.3489
Ifenprodil (3QEL),0.3497
Ifenprodil (3QEL),0.3502
Ifenprodil (3QEL),0.3545
Ifenprodil (3QEL),0.3553
Ifenprodil (3QEL),0.3566
Ifenprodil (3QEL),0.3567
Ifenprodil (3QEL),0.3594
Ifenprodil (3QEL),0.3604
Ifenprodil (3QEL),0.3607
Ifenprodil (3QEL),0.3608
Ifenprodil (3QEL),0.3611
Ifenprodil (3QEL),0.3617
Ifenprodil (3QEL),0.3618
Ifenprodil (3QEL),0.3627
Ifenprodil (3QEL),0.3627
Ifenprodil (3QEL),0.3644
Ifenprodil (3QEL),0.3649
Ifenprodil (3QEL),0.3653
Ifenprodil (3QEL),0.3658
Ifenprodil (3QEL),0.3658
Ifenprodil (3QEL),0.3667
Ifenprodil (3QEL),0.3671
Ifenprodil (3QEL),0.3682
Ifenprodil (3QEL),0.3684
Ifenprodil (3QEL),0.3696
Ifenprodil (3QEL),0.3697
Ifenprodil (3QEL),0.3701
Ifenprodil (3QEL),0.3715
Ifenprodil (3QEL),0.3722
Ifenprodil (3QEL),0.3726
Ifenprodil (3QEL),0.3735
Ifenprodil (3QEL),0.3743
Ifenprodil (3QEL),0.3745
Ifenprodil (3QEL),0.3751
Ifenprodil (3QEL),0.3755
Ifenprodil (3QEL),0.3762
Ifenprodil (3QEL),0.3767
Ifenprodil (3QEL),0.3773
Ifenprodil (3QEL),0.3775
Ifenprodil (3QEL),0.3795
Ifenprodil (3QEL),0.3799
Ifenprodil (3QEL),0.3802
Ifenprodil (3QEL),0.3808
Ifenprodil (3QEL),0.3811
Ifenprodil (3QEL),0.3834
Ifenprodil (3QEL),0.384
Ifenprodil (3QEL),0.3842
Ifenprodil (3QEL),0.3842
Ifenprodil (3QEL),0.3843
Ifenprodil (3QEL),0.3847
Ifenprodil (3QEL),0.3856
Ifenprodil (3QEL),0.3864
Ifenprodil (3QEL),0.3868
Ifenprodil (3QEL),0.3873
Ifenprodil (3QEL),0.3877
Ifenprodil (3QEL),0.3884
Ifenprodil (3QEL),0.3886
Ifenprodil (3QEL),0.3899
Ifenprodil (3QEL),0.3901
Ifenprodil (3QEL),0.3908
Ifenprodil (3QEL),0.391
Ifenprodil (3QEL),0.3922
Ifenprodil (3QEL),0.3923
Ifenprodil (3QEL),0.3925
Ifenprodil (3QEL),0.3929
Ifenprodil (3QEL),0.3938
Ifenprodil (3QEL),0.3946
Ifenprodil (3QEL),0.3946
Ifenprodil (3QEL),0.3947
Ifenprodil (3QEL),0.3957
Ifenprodil (3QEL),0.3959
Ifenprodil (3QEL),0.396
Ifenprodil (3QEL),0.398
Ifenprodil (3QEL),0.3987
Ifenprodil (3QEL),0.3987
Ifenprodil (3QEL),0.3998
Ifenprodil (3QEL),0.4
Ifenprodil (3QEL),0.4001
Ifenprodil (3QEL),0.4005
Ifenprodil (3QEL),0.4008
Ifenprodil (3QEL),0.4012
Ifenprodil (3QEL),0.4014
Ifenprodil (3QEL),0.4014
Ifenprodil (3QEL),0.4017
Ifenprodil (3QEL),0.4031
Ifenprodil (3QEL),0.4032
Ifenprodil (3QEL),0.4037
Ifenprodil (3QEL),0.4042
Ifenprodil (3QEL),0.4047
Ifenprodil (3QEL),0.4047
Ifenprodil (3QEL),0.4054
Ifenprodil (3QEL),0.4057
Ifenprodil (3QEL),0.4061
Ifenprodil (3QEL),0.4066
Ifenprodil (3QEL),0.4066
Ifenprodil (3QEL),0.4075
Ifenprodil (3QEL),0.4079
Ifenprodil (3QEL),0.408
Ifenprodil (3QEL),0.4089
Ifenprodil (3QEL),0.409
Ifenprodil (3QEL),0.4102
Ifenprodil (3QEL),0.4114
Ifenprodil (3QEL),0.4125
Ifenprodil (3QEL),0.4128
Ifenprodil (3QEL),0.413
Ifenprodil (3QEL),0.4133
Ifenprodil (3QEL),0.4138
Ifenprodil (3QEL),0.4142
Ifenprodil (3QEL),0.4143
Ifenprodil (3QEL),0.4145
Ifenprodil (3QEL),0.4146
Ifenprodil (3QEL),0.4146
Ifenprodil (3QEL),0.4151
Ifenprodil (3QEL),0.4153
Ifenprodil (3QEL),0.4154
Ifenprodil (3QEL),0.4165
Ifenprodil (3QEL),0.4184
