Algorithm,Scenario,Description,AUC,Brier,ECE,LogLoss,is_probability
MLP,A1,A1 (uncalibrated),0.9036458333333333,0.13780016848614565,0.14002269860680885,1.874574812729243,True
MLP,B1,B1 (uncalibrated),0.921875,0.09791811336431526,0.0995475059467649,1.097811489968903,True
MLP,A2,A2 (calibrated on original),0.9016203703703703,0.13231957631099445,0.12901792624995814,0.5993823540957322,True
MLP,A3,A3 (calibrated on balanced),0.9016203703703703,0.13598976190700873,0.13427215950953125,0.7050748603068572,True
MLP,B2,B2 (calibrated on balanced),0.921875,0.09623968297395195,0.11337382426295536,0.49031336585041396,True
MLP,B3,B3 (calibrated on original),0.9221643518518519,0.09839228294974477,0.09268898496500201,0.4412632942435233,True
SVM,A1,A1 (uncalibrated),0.9299768518518519,,,,False
SVM,B1,B1 (uncalibrated),0.9369212962962963,,,,False
SVM,A2,A2 (calibrated on original),0.9299768518518519,0.06854751029176491,0.04945485641368971,0.2607144546752191,True
SVM,A3,A3 (calibrated on balanced),0.9299768518518519,0.07511908599745694,0.0660986250375318,0.2852229084002793,True
SVM,B2,B2 (calibrated on balanced),0.9369212962962963,0.09417818724663429,0.11573223271274037,0.31622673722181605,True
SVM,B3,B3 (calibrated on original),0.9369212962962963,0.066917818941736,0.07904730733273868,0.24411935508675897,True
XGBoost,A1,A1 (uncalibrated),0.9479166666666667,0.07775768009189678,0.07407103144214487,0.25976609623349617,True
XGBoost,B1,B1 (uncalibrated),0.9427083333333334,0.07139245813145224,0.06750566458019114,0.25159771194074915,True
XGBoost,A2,A2 (calibrated on original),0.9479166666666667,0.08329892276742755,0.08661565739067968,0.3169857796990676,True
XGBoost,A3,A3 (calibrated on balanced),0.9479166666666667,0.09196907115712272,0.09604190713243702,0.3638978661331036,True
XGBoost,B2,B2 (calibrated on balanced),0.9427083333333334,0.11014471408416071,0.10854100570011134,0.49358762383355065,True
XGBoost,B3,B3 (calibrated on original),0.9427083333333334,0.08653532553395199,0.0884760544872587,0.2993616641383135,True
