compound_idx,pif_median_active,pif_max_active,pif_median_inactive,pif_max_inactive
14,0.2727272727272727,0.5555555555555556,0.3,0.5
49,0.21428571428571427,0.5,0.16666666666666666,0.45454545454545453
50,0.2727272727272727,0.5555555555555556,0.23076923076923078,0.5
53,0.3125,0.5333333333333333,0.26666666666666666,0.4666666666666667
55,0.2727272727272727,0.6666666666666666,0.23076923076923078,0.4
58,0.3333333333333333,0.6363636363636364,0.25,0.5555555555555556
59,0.16666666666666666,0.5625,0.125,0.4375
91,0.36363636363636365,1.0,0.3333333333333333,0.5555555555555556
128,0.2727272727272727,0.75,0.21428571428571427,0.6666666666666666
138,0.2,0.625,0.18181818181818182,0.625
168,0.25,0.6666666666666666,0.23076923076923078,0.5454545454545454
174,0.25,0.75,0.25,0.5
175,0.25,0.75,0.25,0.5
177,0.2727272727272727,0.7142857142857143,0.3333333333333333,0.8333333333333334
193,0.23076923076923078,0.6,0.23076923076923078,0.45454545454545453
194,0.3076923076923077,0.5454545454545454,0.25,0.6
242,0.23076923076923078,0.625,0.2,0.5
245,0.4,0.7142857142857143,0.3333333333333333,0.75
276,0.2857142857142857,0.6428571428571429,0.21428571428571427,0.5384615384615384
279,0.23529411764705882,0.5294117647058824,0.1875,0.4444444444444444
280,0.15384615384615385,0.5555555555555556,0.18181818181818182,0.375
