Model,fpr,tpr
MLP,0.0,0.0
MLP,0.0416666666666666,0.7361111111111112
MLP,0.0416666666666666,0.7916666666666666
MLP,0.0416666666666666,0.8194444444444444
MLP,0.125,0.8194444444444444
MLP,0.125,0.8611111111111112
MLP,0.1666666666666666,0.8611111111111112
MLP,0.1666666666666666,0.875
MLP,0.2083333333333333,0.875
MLP,0.2083333333333333,0.8888888888888888
MLP,0.4166666666666667,0.8888888888888888
MLP,0.4166666666666667,0.9166666666666666
MLP,0.5416666666666666,0.9166666666666666
MLP,0.5416666666666666,0.9305555555555556
MLP,0.5833333333333334,0.9305555555555556
MLP,0.5833333333333334,0.9583333333333334
MLP,0.625,0.9583333333333334
MLP,1.0,1.0
SVM,0.0,0.0
SVM,0.0,0.0138888888888888
SVM,0.0,0.1805555555555555
SVM,0.0416666666666666,0.1805555555555555
SVM,0.0416666666666666,0.5694444444444444
SVM,0.0833333333333333,0.5694444444444444
SVM,0.0833333333333333,0.8888888888888888
SVM,0.125,0.8888888888888888
SVM,0.125,0.9305555555555556
SVM,0.1666666666666666,0.9305555555555556
SVM,0.1666666666666666,0.9444444444444444
SVM,0.2083333333333333,0.9444444444444444
SVM,0.2083333333333333,0.9583333333333334
SVM,0.25,0.9583333333333334
SVM,0.25,0.9861111111111112
SVM,0.7083333333333334,0.9861111111111112
SVM,0.7083333333333334,1.0
SVM,1.0,1.0
