compound_idx,true_activity,misclassified_by,median_tanimoto_active,max_tanimoto_active,median_tanimoto_inactive,max_tanimoto_inactive
14,Ativo,"MLP, SVM, XGBoost",0.1527777777777778,0.7884615384615384,0.12359550561797752,0.19444444444444445
49,Ativo,"MLP, SVM, XGBoost",0.1267605633802817,0.7962962962962963,0.14606741573033707,0.25
50,Ativo,XGBoost,0.13043478260869565,0.7818181818181819,0.14444444444444443,0.2638888888888889
53,Ativo,XGBoost,0.11627906976744186,0.75,0.13186813186813187,0.2692307692307692
55,Ativo,XGBoost,0.11688311688311688,0.6415094339622641,0.13043478260869565,0.21333333333333335
58,Ativo,XGBoost,0.14084507042253522,0.6491228070175439,0.14864864864864866,0.2222222222222222
59,Ativo,"SVM, XGBoost",0.1375,0.6166666666666667,0.14285714285714285,0.21428571428571427
91,Inativo,"MLP, SVM, XGBoost",0.17543859649122806,0.7777777777777778,0.11594202898550725,0.3
128,Inativo,"MLP, SVM, XGBoost",0.15,0.7954545454545454,0.11392405063291139,0.5576923076923077
138,Ativo,MLP,0.12857142857142856,0.7755102040816326,0.11538461538461539,0.4067796610169492
168,Ativo,MLP,0.15584415584415584,0.5263157894736842,0.1111111111111111,0.24193548387096775
174,Inativo,XGBoost,0.11764705882352941,0.6756756756756757,0.09859154929577464,0.2549019607843137
175,Ativo,"MLP, SVM",0.10144927536231885,0.6842105263157895,0.1095890410958904,0.25
177,Ativo,SVM,0.10606060606060606,0.6842105263157895,0.10526315789473684,0.25
193,Ativo,MLP,0.1518987341772152,0.6,0.11764705882352941,0.26229508196721313
194,Ativo,MLP,0.16176470588235295,0.6538461538461539,0.12790697674418605,0.26666666666666666
242,Ativo,"MLP, SVM",0.08571428571428572,0.7058823529411765,0.12987012987012986,0.29577464788732394
245,Ativo,MLP,0.1,0.7037037037037037,0.14457831325301204,0.30666666666666664
276,Inativo,MLP,0.13333333333333333,0.31746031746031744,0.12790697674418605,0.6875
279,Inativo,SVM,0.1282051282051282,0.2833333333333333,0.12195121951219512,0.7090909090909091
280,Inativo,MLP,0.12,0.25757575757575757,0.13580246913580246,0.4745762711864407
