compound_a,compound_b,tanimoto
14,49,0.16049382716049382
14,50,0.15853658536585366
14,53,0.15853658536585366
14,55,0.1728395061728395
14,58,0.1951219512195122
14,59,0.18823529411764706
14,91,0.1694915254237288
14,128,0.17105263157894737
14,138,0.12345679012345678
14,168,0.1518987341772152
14,174,0.13043478260869565
14,175,0.12857142857142856
14,177,0.12857142857142856
14,193,0.1518987341772152
14,194,0.15384615384615385
14,242,0.08433734939759036
14,245,0.09302325581395349
14,276,0.1511627906976744
14,279,0.13414634146341464
14,280,0.11392405063291139
49,50,0.8269230769230769
49,53,0.7924528301886793
49,55,0.6666666666666666
49,58,0.5555555555555556
49,59,0.44285714285714284
49,91,0.15
49,128,0.14102564102564102
49,138,0.10975609756097561
49,168,0.0963855421686747
49,174,0.09859154929577464
49,175,0.0821917808219178
49,177,0.0821917808219178
49,193,0.12345679012345678
49,194,0.13924050632911392
49,242,0.15384615384615385
49,245,0.16049382716049382
49,276,0.2222222222222222
49,279,0.19230769230769232
49,280,0.1
50,53,0.7777777777777778
50,55,0.6271186440677966
50,58,0.45588235294117646
50,59,0.43661971830985913
50,91,0.14754098360655737
50,128,0.16883116883116883
50,138,0.13580246913580246
50,168,0.09523809523809523
50,174,0.09722222222222222
50,175,0.08108108108108109
50,177,0.08108108108108109
50,193,0.12195121951219512
50,194,0.1375
50,242,0.1518987341772152
50,245,0.1728395061728395
50,276,0.21951219512195122
50,279,0.189873417721519
50,280,0.09876543209876543
53,55,0.6
53,58,0.43478260869565216
53,59,0.4166666666666667
53,91,0.14754098360655737
53,128,0.125
53,138,0.09523809523809523
53,168,0.09523809523809523
53,174,0.09722222222222222
53,175,0.08108108108108109
53,177,0.08108108108108109
53,193,0.10843373493975904
53,194,0.12345679012345678
53,242,0.1375
53,245,0.14457831325301204
53,276,0.25
53,279,0.22077922077922077
53,280,0.09876543209876543
55,58,0.3561643835616438
55,59,0.3246753246753247
55,91,0.12903225806451613
55,128,0.125
55,138,0.09523809523809523
55,168,0.08235294117647059
55,174,0.09722222222222222
55,175,0.08108108108108109
55,177,0.08108108108108109
55,193,0.12195121951219512
55,194,0.10975609756097561
55,242,0.1375
55,245,0.11764705882352941
55,276,0.19047619047619047
55,279,0.175
55,280,0.08536585365853659
58,59,0.8103448275862069
58,91,0.15873015873015872
58,128,0.14814814814814814
58,138,0.10465116279069768
58,168,0.11764705882352941
58,174,0.10810810810810811
58,175,0.09210526315789473
58,177,0.09210526315789473
58,193,0.13095238095238096
58,194,0.14634146341463414
58,242,0.13253012048192772
58,245,0.13953488372093023
58,276,0.21176470588235294
58,279,0.18292682926829268
58,280,0.10843373493975904
59,91,0.15151515151515152
59,128,0.14285714285714285
59,138,0.10112359550561797
59,168,0.11363636363636363
59,174,0.1038961038961039
59,175,0.08860759493670886
59,177,0.08860759493670886
59,193,0.12643678160919541
59,194,0.1411764705882353
59,242,0.12790697674418605
59,245,0.1348314606741573
59,276,0.20454545454545456
59,279,0.17647058823529413
59,280,0.13095238095238096
91,128,0.18518518518518517
91,138,0.11864406779661017
91,168,0.15789473684210525
91,174,0.10416666666666667
91,175,0.10204081632653061
91,177,0.10204081632653061
91,193,0.13793103448275862
91,194,0.14035087719298245
91,242,0.08333333333333333
91,245,0.09523809523809523
91,276,0.2542372881355932
91,279,0.21428571428571427
91,280,0.125
128,138,0.5357142857142857
128,168,0.1780821917808219
128,174,0.12307692307692308
128,175,0.12121212121212122
128,177,0.12121212121212122
128,193,0.19444444444444445
128,194,0.19718309859154928
128,242,0.08974358974358974
128,245,0.1125
128,276,0.13253012048192772
128,279,0.1282051282051282
128,280,0.136986301369863
138,168,0.17333333333333334
138,174,0.11940298507462686
138,175,0.11764705882352941
138,177,0.11764705882352941
138,193,0.1891891891891892
138,194,0.20833333333333334
138,242,0.10126582278481013
138,245,0.12345679012345678
138,276,0.09090909090909091
138,279,0.1111111111111111
138,280,0.14864864864864866
168,174,0.3157894736842105
168,175,0.3103448275862069
168,177,0.3103448275862069
168,193,0.6296296296296297
168,194,0.6111111111111112
168,242,0.07407407407407407
168,245,0.0963855421686747
168,276,0.11627906976744186
168,279,0.1111111111111111
168,280,0.13333333333333333
174,175,0.575
174,177,0.5
174,193,0.3157894736842105
174,194,0.32142857142857145
174,242,0.05714285714285714
174,245,0.05405405405405406
174,276,0.136986301369863
174,279,0.08450704225352113
174,280,0.125
175,177,0.6842105263157895
175,193,0.3103448275862069
175,194,0.3157894736842105
175,242,0.07142857142857142
175,245,0.06756756756756757
175,276,0.12
175,279,0.08333333333333333
175,280,0.12307692307692308
177,193,0.3103448275862069
177,194,0.3157894736842105
177,242,0.07142857142857142
177,245,0.06756756756756757
177,276,0.07692307692307693
177,279,0.08333333333333333
177,280,0.12307692307692308
193,194,0.6111111111111112
193,242,0.0875
193,245,0.12345679012345678
193,276,0.12941176470588237
193,279,0.13924050632911392
193,280,0.13333333333333333
194,242,0.11688311688311688
194,245,0.15384615384615385
194,276,0.13095238095238096
194,279,0.14102564102564102
194,280,0.1506849315068493
242,245,0.6666666666666666
242,276,0.11764705882352941
242,279,0.12658227848101267
242,280,0.09090909090909091
245,276,0.13793103448275862
245,279,0.14814814814814814
245,280,0.1
276,279,0.3424657534246575
276,280,0.13414634146341464
279,280,0.11538461538461539
