compound_id,pred_mlp,pred_svm,pred_xgb,consensus_count
0,0,0,0,0
1,0,0,1,1
2,0,0,0,0
3,0,0,0,0
4,1,0,0,1
5,0,0,0,0
6,1,0,1,2
7,1,0,0,1
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,1,0,0,1
12,0,0,0,0
13,1,0,0,1
14,1,0,0,1
15,0,0,0,0
16,1,0,0,1
17,0,0,0,0
18,1,0,0,1
19,1,0,0,1
20,1,0,0,1
21,0,0,0,0
22,1,0,0,1
23,1,0,0,1
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,1,1
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,1,1
43,0,0,0,0
44,0,0,0,0
45,0,1,1,2
46,1,0,0,1
47,0,0,0,0
48,0,0,0,0
49,0,0,1,1
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,1,0,0,1
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,1,0,1,2
75,1,0,1,2
76,1,1,1,3
77,0,0,1,1
78,0,0,0,0
79,0,0,1,1
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,1,0,1,2
84,1,0,1,2
85,1,0,0,1
86,0,0,0,0
87,1,0,0,1
88,0,0,0,0
89,0,0,0,0
90,0,0,0,0
91,0,0,1,1
92,0,0,1,1
93,1,0,0,1
94,0,0,1,1
95,0,0,0,0
96,0,0,0,0
97,0,0,1,1
98,0,0,1,1
99,1,1,1,3
100,0,0,0,0
101,0,0,0,0
102,0,0,0,0
103,0,0,0,0
104,0,0,0,0
105,0,0,0,0
106,0,0,0,0
107,0,0,0,0
108,0,0,0,0
109,0,0,0,0
110,0,1,0,1
111,0,0,0,0
112,0,0,0,0
113,1,0,0,1
114,0,0,0,0
115,1,1,1,3
116,1,0,1,2
117,0,1,0,1
118,1,0,1,2
119,0,0,0,0
120,0,1,0,1
121,0,0,1,1
122,0,0,1,1
123,0,0,0,0
124,0,0,0,0
125,0,0,0,0
126,0,0,0,0
127,0,0,0,0
128,0,0,0,0
129,0,0,0,0
130,1,0,1,2
131,0,0,0,0
132,0,0,0,0
133,0,0,0,0
134,0,0,0,0
135,0,0,0,0
