Algorithm,n_iter_budget,search_best_kappa,repeated_cv_mean_kappa,repeated_cv_sd_kappa,bootstrap_ci95_low,bootstrap_ci95_high,held_out_test_kappa,held_out_test_acc,held_out_test_auc,best_params
MLP,1,0.8200572291668747,0.8065258941274547,0.062275333620029426,0.7945037176016753,0.8185357005265284,0.7142857142857143,0.8854166666666666,0.8984375,"{'NN__activation': 'tanh', 'NN__alpha': 1.0000197284165506e-05, 'NN__hidden_layer_sizes': 8, 'NN__learning_rate_init': 5.3077318231151e-07}"
MLP,3,0.8200572291668747,0.8065258941274547,0.062275333620029426,0.7945037176016753,0.8185357005265284,0.7142857142857143,0.8854166666666666,0.8984375,"{'NN__activation': 'tanh', 'NN__alpha': 1.0000197284165506e-05, 'NN__hidden_layer_sizes': 8, 'NN__learning_rate_init': 5.3077318231151e-07}"
MLP,5,0.8261283679219789,0.7888522720860616,0.07153513152941922,0.7749477632656002,0.8027801487585191,0.6623376623376623,0.8645833333333334,0.9016203703703703,"{'NN__activation': 'tanh', 'NN__alpha': 1.0005069643949672e-05, 'NN__hidden_layer_sizes': 7, 'NN__learning_rate_init': 7.656010912714263e-07}"
SVM,1,0.7183579350756386,0.7115727261150755,0.1046631742394615,0.6906509397044136,0.7330836463845714,0.7066666666666667,0.8854166666666666,0.9103009259259259,"{'svm__C': 0.6777311018503334, 'svm__gamma': 0.011645492360207968, 'svm__kernel': 'rbf'}"
SVM,3,0.844024296415739,0.8253852404851174,0.07473937345241383,0.8109822109509774,0.8399151637270611,0.76,0.90625,0.9299768518518519,"{'svm__C': 0.7185240725598854, 'svm__gamma': 0.05072306207798868, 'svm__kernel': 'rbf'}"
SVM,5,0.844024296415739,0.8253852404851174,0.07473937345241383,0.8109822109509774,0.8399151637270611,0.76,0.90625,0.9299768518518519,"{'svm__C': 0.7185240725598854, 'svm__gamma': 0.05072306207798868, 'svm__kernel': 'rbf'}"
XGBoost,1,0.8082732324427695,0.808628586076783,0.08944014749452883,0.7907615352354004,0.8255709994770543,0.6097560975609756,0.8333333333333334,0.9334490740740741,"{'xgb__colsample_bytree': 0.5755139539994705, 'xgb__gamma': 0.16539463702885618, 'xgb__learning_rate': 0.02748592047919601, 'xgb__max_depth': 7, 'xgb__max_leaves': 53, 'xgb__min_child_weight': 4.85179253707827, 'xgb__n_estimators': 306, 'xgb__reg_alpha': 0.6481911948159704, 'xgb__reg_lambda': 0.43858313722698034, 'xgb__subsample': 0.6494144896493422}"
XGBoost,3,0.868213384667684,0.8499405802398665,0.07450516955422883,0.8349495993889634,0.8647344535417577,0.736842105263158,0.8958333333333334,0.9479166666666667,"{'xgb__colsample_bytree': 0.4066604603212028, 'xgb__gamma': 1.3915254966127013, 'xgb__learning_rate': 0.08244616809299331, 'xgb__max_depth': 6, 'xgb__max_leaves': 97, 'xgb__min_child_weight': 0.42242968024018873, 'xgb__n_estimators': 141, 'xgb__reg_alpha': 0.0003968673350639731, 'xgb__reg_lambda': 0.01172669764590184, 'xgb__subsample': 0.6099003094536355}"
XGBoost,5,0.868213384667684,0.8499405802398665,0.07450516955422883,0.8349495993889634,0.8647344535417577,0.736842105263158,0.8958333333333334,0.9479166666666667,"{'xgb__colsample_bytree': 0.4066604603212028, 'xgb__gamma': 1.3915254966127013, 'xgb__learning_rate': 0.08244616809299331, 'xgb__max_depth': 6, 'xgb__max_leaves': 97, 'xgb__min_child_weight': 0.42242968024018873, 'xgb__n_estimators': 141, 'xgb__reg_alpha': 0.0003968673350639731, 'xgb__reg_lambda': 0.01172669764590184, 'xgb__subsample': 0.6099003094536355}"
LogisticRegression,1,0.8142454571875744,0.8029066097352708,0.07762107479569884,0.787077321330707,0.8185871279680118,0.736842105263158,0.8958333333333334,0.9334490740740741,"{'LGR__C': 0.15628756506627792, 'LGR__penalty': 'l2', 'LGR__solver': 'lbfgs'}"
LogisticRegression,3,0.8201278219874304,0.8178729115775814,0.07078228739631484,0.8040071183054321,0.8319916137442773,0.736842105263158,0.8958333333333334,0.9398148148148149,"{'LGR__C': 0.4126121236470449, 'LGR__penalty': 'l2', 'LGR__solver': 'lbfgs'}"
LogisticRegression,5,0.8201278219874304,0.8178729115775814,0.07078228739631484,0.8040071183054321,0.8319916137442773,0.736842105263158,0.8958333333333334,0.9398148148148149,"{'LGR__C': 0.4126121236470449, 'LGR__penalty': 'l2', 'LGR__solver': 'lbfgs'}"
