Algorithm,Scenario,Description,AUC,Brier,ECE,LogLoss,is_probability
MLP,A1,A1 (sem calibracao),0.9036458333333331,0.1378001684861456,0.1400226986068088,1.874574812729243,True
MLP,B1,B1 (sem calibracao),0.9482060185185184,0.0730535740908848,0.0735513147672519,1.0812211375346843,True
MLP,A2,A2 (calibrado em originais),0.9016203703703703,0.1323195763109944,0.1290179262499581,0.5993823540957322,True
MLP,A3,A3 (calibrado em balanceada),0.9016203703703703,0.1359897619070087,0.1342721595095312,0.7050748603068572,True
MLP,B2,B2 (calibrado em balanceada),0.9383680555555556,0.0727525809452745,0.0744275763963861,0.3631052593199134,True
MLP,B3,B3 (calibrado em originais),0.9383680555555556,0.0712579016958239,0.0637249953523229,0.3384963174856847,True
SVM,A1,A1 (sem calibracao),0.929976851851852,,,,False
SVM,B1,B1 (sem calibracao),0.9369212962962964,,,,False
SVM,A2,A2 (calibrado em originais),0.929976851851852,0.0685475102917649,0.0494548564136897,0.2607144546752191,True
SVM,A3,A3 (calibrado em balanceada),0.929976851851852,0.0751190859974569,0.0660986250375318,0.2852229084002793,True
SVM,B2,B2 (calibrado em balanceada),0.9369212962962964,0.0941781872466343,0.1157322327127401,0.3162267372218161,True
SVM,B3,B3 (calibrado em originais),0.9369212962962964,0.0669178189417362,0.0790473073327387,0.2441193550867592,True
XGBoost,A1,A1 (sem calibracao),0.9479166666666669,0.077757678925991,0.0740710314421448,0.2597661018371582,True
XGBoost,A2,A2 (calibrado em originais),0.9479166666666669,0.0832989227674275,0.0866156573906796,0.3169857796990676,True
XGBoost,A3,A3 (calibrado em balanceada),0.9479166666666669,0.0919690711571227,0.096041907132437,0.3638978661331036,True
XGBoost,B1,B1 (sem calibracao),0.9346064814814816,0.0723346546292305,0.0500827073895683,0.2526793181896209,True
XGBoost,B2,B2 (calibrado em balanceada),0.9346064814814816,0.1101071286108458,0.1026485226601994,0.4855178675806279,True
XGBoost,B3,B3 (calibrado em originais),0.9346064814814816,0.0806514789095389,0.081075029111732,0.3258003187696406,True
